sample_title,sample_accession,run_accession,fastq_md5,fastq_ftp
NF1,SAMN09484151,SRR7426784,dc60189386229c1b6fa04bc568db78ed,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/004/SRR7426784/SRR7426784.fastq.gz
NF10,SAMN09484150,SRR7426785,30a81d58cc96c8e3aba605dd20dc579e,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/005/SRR7426785/SRR7426785.fastq.gz
NF11,SAMN09484149,SRR7426786,734ca878d1fc10aac387bced15321b74,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/006/SRR7426786/SRR7426786.fastq.gz
NF12,SAMN09484148,SRR7426787,23bb8052380810687e403b766b9aa705,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/007/SRR7426787/SRR7426787.fastq.gz
NF13,SAMN09484147,SRR7426788,5d380b57f507a81dbbad926ca87ca53c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/008/SRR7426788/SRR7426788.fastq.gz
NF14,SAMN09484145,SRR7426789,615ef1727cf13d0c7246c763f2c7b1fc,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/009/SRR7426789/SRR7426789.fastq.gz
NF15,SAMN09484144,SRR7426790,28df737c83cbdaffbb583ad50daae805,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/000/SRR7426790/SRR7426790.fastq.gz
NF2,SAMN09484143,SRR7426791,d5621d2d7207e3564c130d431160257d,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/001/SRR7426791/SRR7426791.fastq.gz
NF3,SAMN09484142,SRR7426792,e6b6695219d2efef3d0337e482106b8c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/002/SRR7426792/SRR7426792.fastq.gz
NF4,SAMN09484141,SRR7426793,19983f853bbd343cda2fc60a064c874c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/003/SRR7426793/SRR7426793.fastq.gz
NF5,SAMN09484139,SRR7426794,943067596a76b244859c0f7dc9fb5b10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/004/SRR7426794/SRR7426794.fastq.gz
NF6,SAMN09484138,SRR7426795,c00d0fd56abb18af912dcc924fccf311,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/005/SRR7426795/SRR7426795.fastq.gz
NF7,SAMN09484137,SRR7426796,caa71bb7114ffd951dbb05e559b9773b,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/006/SRR7426796/SRR7426796.fastq.gz
NF8,SAMN09484136,SRR7426797,c446be1bff190d0e7a637afdc0d0036a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR742/007/SRR7426797/SRR7426797.fastq.gz
